source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,district_hint
The Daily Star,http://www.thedailystar.net/country/ctg-landslide-kills-mother-daughter-146551,8280,2015-09-21 07:00:00,,"Chittagong, Bangladesh","A woman and her five-year-old daughter were killed in a rain-triggered landslide in Chittagong this morning.  The deceased were identified as Parveen Akthar, 30, and her daughter Urmi Akthar, our Chittagong correspondent reports quoting Manosh Barua, a sub-inspector of Bayejid Police Station.  The landslide took place when a chunk of earth of rain-soaked hill fell on their house in Majhirgona area around 7:00am, the SI said.","Chittagong, Bangladesh",10km,landslide,rain,medium,unknown,2.0,0.0,,,,glc,8280.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.2269,07/05/2016 06:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8138,22.3496,Chittagong
BD News 24,http://bdnews24.com/bangladesh/2015/06/26/child-killed-four-injured-in-coxs-bazar-landslide,7000,2015-06-26 14:00:00,,Konarpara,"Fire Service’s Majid said torrential rains over the past several days softened the earth of Ghonar Parha Hill.  A part of the hill subsided on some tin-shed houses next to it. Assistant Meteorologist AKM Nasir said it had been raining in the district since June 23. The Met office recorded 123 millimetres rainfall on Friday until afternoon.;Powerful landslides triggered by heavy rains killed at least 49 people, including six army personnel, on Tuesday in two southeastern districts of Cox’s Bazar and Bandarban.  In Cox’s Bazar, the mudslides occurred at different parts including the district town and Himchhari ECB camp, leaving 45 people dead.  Superintendent of Police Nibash Chandra Majhi said 31 people were killed in Teknaf, six in Ukhia, two in the district headquarters and six in the Himchhari army camp.  Of the army men buried under the mud, three bodies were recovered while search was going on for the rest, reports a correspondent from Cox’s Bazar.  Deputy Commissioner Md Gias Uddi",Konarpara,1km,landslide,monsoon,medium,natural_slope,1.0,4.0,,http://d30fl32nd2baj9.cloudfront.net/media/2015/06/26/coxs-bazar-pahar.jpg/ALTERNATES/w640/coxs-bazar-pahar.jpg,,glc,7000.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,4.53556,01/14/2016 07:36:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0074,21.4409,Chittagong
thefinancialexpress-bd,http://www.thefinancialexpress-bd.com/index.php?ref=MjBfMTBfMzFfMTJfMV85MV8xNDg0MjQ=,4598,2012-10-30 09:00:00,,"Cox's Bazar,","A person was killed and nine others, including four members of a family, were injured in a mudslide in Sadar upazila on Tuesday afternoon. The deceased was identified as Amzad, 25, son of Osman Gani of South Jurain in the capital.","Cox's Bazar,",10km,landslide,rain,medium,unknown,1.0,,,,,glc,4598.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,4.31226,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0076,21.443,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1978,2010-06-15 04:00:00,,Tuinya hilll in Teknaf,"Meanwhile, landslides from Tuinya Hill in Teknaf upazila killed seven people and injured four others. ",Tuinya hilll in Teknaf,25km,landslide,downpour,medium,unknown,7.0,,,,,glc,1978.0,Bangladesh,BD,Chittagong,40557.0,Teknāf,0.29303,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.22263842,20.92931962,Chittagong
The Financial Express,http://print.thefinancialexpress-bd.com/2015/11/17/118258,8955,2015-11-16 00:00:00,,Companiganj upazila of Sylhet district,"A labourer was killed in an incident of landslide while doing work of stone lifting in Companiganj upazila of Sylhet district on Monday. The deceased was identified as Anwar, 35. Witnesses said Anwar, along with other labourers, was lifting stone from Shah Arefin Hill at noon. At a stage, a chunk of mud from the hill crashed on Anwar around 12pm, leaving him injured. Later, he was rushed to Companiganj health complex where on-duty doctors declared him dead, according to a news agency.",Companiganj upazila of Sylhet district,1km,landslide,unknown,small,mine,1.0,0.0,,,,glc,8955.0,Bangladesh,BD,Sylhet,39218.0,Chhātak,10.8974,07/14/2016 02:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7783,25.0821,Sylhet
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/feb/23/4-died-sylhet-landslide,6792,2015-02-22 20:30:00,,Bholaganj stone quarry in Companyganj upazila,"Witnesses said a chunk of mud collapsed on them around 8:30pm, while the labourers were digging up stones at the quarry, leaving them dead on the spot.",Bholaganj stone quarry in Companyganj upazila,5km,mudslide,mining,medium,mine,4.0,0.0,,,,glc,6792.0,Bangladesh,BD,Sylhet,39218.0,Chhātak,13.78623,02/24/2015 05:25:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7483,25.1472,Sylhet
foxnews,http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/,4432,2012-06-24 00:00:00,,Chittagong,"Landslides and floods caused by heavy monsoon rains killed at least 91 people in southern Bangladesh and many more were missing, the government said Wednesday.  At least 37 died in Cox's Bazar, 33 in neighboring Bandarban and another 21 in Chittagong, mostly in a series of landslides, the Disaster Management Ministry said. It said soldiers were joining the search for the missing. Three days of torrential rain in the region of small hills and forests dislodged huge chunks of earth which buried flimsy huts where families were sleeping late Tuesday and early Wednesday. Many homeless people live at the foot of the hills or close to them despite warnings from authorities.  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIbeaxQ  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIT0LvN",Chittagong,10km,landslide,downpour,large,unknown,31.0,,,,,glc,4432.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,1.03985,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8252,22.3312,Chittagong
The Daily Star,http://www.thedailystar.net/city/woman-dies-sylhet-landslide-573988,9308,2016-02-16 23:00:00,,Sylhet,"A woman was killed and her husband injured in a landslide at a stone quarry in Balughat area of Sylhet's Gowainghat upazila on Tuesday night.  The victims were Saina Begum, 34, and her husband Kala Miah of the upazila's Shoti village.  Injured Kala Miah was taken to Sylhet Osmani Medical College Hospital.  Md Delowar Hossain, officer-in-charge of Gowainghat police, confirmed the incident to The Daily Star.  The OC said a chunk of the quarry suddenly fell on the duo when they were collecting stones, leaving Sania dead on the spot and her husband injured.",Sylhet,5km,rock_fall,mining,small,mine,1.0,1.0,,,,glc,9308.0,Bangladesh,BD,Sylhet,237000.0,Sylhet,0.78886,08/02/2016 05:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8644,24.9007,Sylhet
Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1975,2010-06-15 00:00:00,,"Ukhia, Cox's Bazar","Powerful landslides triggered by heavy rains killed at least 49 people, including six army personnel, on Tuesday in two southeastern districts of Cox’s Bazar and Bandarban.  In Cox’s Bazar, the mudslides occurred at different parts including the district town and Himchhari ECB camp, leaving 45 people dead.  Superintendent of Police Nibash Chandra Majhi said 31 people were killed in Teknaf, six in Ukhia, two in the district headquarters and six in the Himchhari army camp.  Of the army men buried under the mud, three bodies were recovered while search was going on for the rest, reports a correspondent from Cox’s Bazar.  Deputy Commissioner Md Gias Uddin Ahmed said they were urging people through loudhailers to evacuate the hilly areas. ","Ukhia, Cox's Bazar",5km,landslide,downpour,medium,unknown,6.0,,,,,glc,1975.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,32.54732,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19530189,21.23704301,Chittagong
Business News 24 BD,http://businessnews24bd.com/landslide-kills-mother-daughter-in-ctg/,9321,2016-05-21 09:00:00,,"Jangle Salimpur area, Sitakunda upazila, Chittagong, Balngladesh","A woman and her daughter were killed in a rain-triggered landslide at Sitakunda upazila of Chittagong on Saturday morning. The deceased were identified as–Kajal Begum, 45, and her son Belal Hossain, 10. Mamunur Rashid, an official of Chittagong Fire Service Control Room, said the incident took place at Jangle Salimpur area when a chunk of mud collapsed on their thatched house early today during rainfalls, leaving the duo dead on the spot.","Jangle Salimpur area, Sitakunda upazila, Chittagong, Balngladesh",5km,landslide,tropical_cyclone,small,unknown,2.0,0.0,Roanu,,,glc,9321.0,Bangladesh,BD,Chittagong,33200.0,Fatikchari,13.06101,08/02/2016 07:22:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.6743,22.6239,Chittagong
Allheadlinenews.com,http://www.allheadlinenews.com/articles/7008891877,318,2007-10-19 00:00:00,,Madamdevihat in Chittagong and Dolhajra in Chokoria upazila,"occurred at 10:50 pm, severed a fiber optic cable, ",Madamdevihat in Chittagong and Dolhajra in Chokoria upazila,unknown,landslide,unknown,medium,unknown,,,,,,glc,318.0,Bangladesh,BD,Chittagong,39335.0,Chhāgalnāiya,14.65105,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.5327,22.894,Chittagong
bdnews24,http://www.bdnews24.com/details.php?id=199829&cid=2,3680,2011-07-01 06:00:00,,"Batali, Chittagong","Chittagong, July 2 (bdnews24.com)—The government is investigating Friday's hillslide at Batali in the port city that has claimed at least 16 lives as rescue operations ran well past midnight, with the body counts likely to rise.  Twelve people were killed in a landslide in southeastern Bangladesh on Friday, Xinhua reported. The rain-triggered landslide occurred in Chittagong city, about 240 km from Dhaka. ""We have retrieved 12 bodies,"" fire service official Ruhul Amin said. A big chunk of earth. Death toll was revised as 17.  Heavy rains for the past few days caused a huge chunk of earth and a retaining wall to collapse around 6am, burying six hillside shanties and leaving scores of people trapped.   A five-strong probe committee, headed by additional deputy commissioner (general) Ehsan Elahi, has been given five days to submit the report on the landslide in Tigerpass. The investigators have started work.   One member each from the eastern zone of Bangladesh Railway, Chittagong Metro","Batali, Chittagong",10km,landslide,downpour,large,unknown,17.0,,,,,glc,3680.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,1.72122,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8161,22.344,Chittagong
Daily Sun,http://www.daily-sun.com/post/63189/5-killed-2-missing-in-Bandarban-landslide-,7365,2015-08-01 03:00:00,,Hospital Para in Lama upazila,"At least seven people, including a children, were killed, two went missing and at least three others injured in a landslide, caused by incessant rainfall for the last nine days at Hospital Para in Lama upazila of Bandarban district on early Saturday.",Hospital Para in Lama upazila,50km,mudslide,continuous_rain,small,unknown,7.0,3.0,,http://www.thedailystar.net/sites/default/files/styles/big_4/public/feature/images/bandarban-landslide.jpg?itok=ZtfCTgJl,,glc,7365.0,Bangladesh,BD,Chittagong,52005.0,Sātkania,36.54669,12/14/2015 10:59:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.1991,21.7773,Chittagong
bdnews24.com,http://bdnews24.com/bangladesh/2013/01/30/landslide-in-sitakunda,4743,2013-01-30 00:00:00,,"Sitakunda, Chittagong Division,",At least one worker was injured and some others feared trapped under a landslide during the digging of a hill at Sitakunda upazila of Chittagong on Wednesday.,"Sitakunda, Chittagong Division,",5km,landslide,rain,large,unknown,,,,,,glc,4743.0,Bangladesh,BD,Chittagong,33200.0,Fatikchari,14.59203,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.6591,22.6205,Chittagong
The Daily Star,http://www.thedailystar.net/city/nasir-hit-landslides-first-day-office-117430,7283,2015-07-26 07:00:00,,"Manila Hill, Chittagong District Shilpakala Academy","Around 7:00am yesterday, a chunk of earth from the adjacent Manila Hill collapsed onto Chittagong District Shilpakala Academy.  Breaking the wall and the windows of a classroom of the academy's main building, mud spread in an office and two classrooms, said district cultural officer Moslem Uddin Shikdar.","Manila Hill, Chittagong District Shilpakala Academy",1km,landslide,continuous_rain,small,urban,0.0,0.0,,,,glc,7283.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.31697,07/29/2015 08:42:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8022,22.4254,Chittagong
The Daily Star,http://www.thedailystar.net/country/2-buried-while-cutting-hill-ctg-90934,7023,2015-06-01 14:00:00,,"Dakkhin Para, Banshkhali upazila of Chittagong","Two workers were killed and another injured as a chunk of earth fell on them while they were cutting hill. They were cutting the hill illegally, police said.","Dakkhin Para, Banshkhali upazila of Chittagong",25km,landslide,mining,medium,natural_slope,2.0,1.0,,,,glc,7023.0,Bangladesh,BD,Chittagong,52005.0,Sātkania,12.29665,02/23/2016 09:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.9538,22.0104,Chittagong
Fox News,http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/,4430,2012-06-24 00:00:00,,Cox's Bazar,"Landslides and floods caused by heavy monsoon rains killed at least 91 people in southern Bangladesh and many more were missing, the government said Wednesday.  At least 37 died in Cox's Bazar, 33 in neighboring Bandarban and another 21 in Chittagong, mostly in a series of landslides, the Disaster Management Ministry said. It said soldiers were joining the search for the missing. Three days of torrential rain in the region of small hills and forests dislodged huge chunks of earth which buried flimsy huts where families were sleeping late Tuesday and early Wednesday. Many homeless people live at the foot of the hills or close to them despite warnings from authorities.  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIbeaxQ  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIT0LvN",Cox's Bazar,unknown,landslide,downpour,large,unknown,41.0,,,,,glc,4430.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,4.36333,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.01072983,21.38070054,Chittagong
The Daily Star,http://www.thedailystar.net/story.php?nid=51653,741,2008-08-23 16:00:00,,Motijharna of Lalkhan Bazar,Witnesses said a large portion of Batali Hill fell down at around 4:00pm,Motijharna of Lalkhan Bazar,10km,landslide,downpour,medium,unknown,,,,,,glc,741.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,1.46523,09/15/2014 04:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8188,22.344,Chittagong
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/jun/27/11-dead-landslides-flashfloods,7003,2015-06-27 09:00:00,,Ramu upazila,"In Cox’s Bazar, two people were killed in separate incidents of landslide at Ramu upazila in the morning.",Ramu upazila,25km,landslide,monsoon,small,unknown,1.0,0.0,,,,glc,7003.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,15.10994,06/30/2015 03:29:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.1117,21.444,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=36323,4248,2012-03-08 08:30:00,,"Andarghona village, Moheshkhali upazila, Cox’s Bazar","A man was killed and three were injured in a landslide in Moheshkhali upazila of Cox’s Bazar Thursday morning. On information, police recovered the body of Md Idris, 35, and sent it to Cox’s Bazar Sadar Hospital morgue for autopsy, reports a district correspondent. The three injured persons – Abdus Sabur, 45, Abu Shamad, 45, and Mohammad Ali, 38, –were admitted to the local upazila health complex. Police said a large chunk of earth fell on the workers from at least 10 feet above when they were working at a betel-leaf garden at the bottom of a hillock at Adharghona village around 8:30am.","Andarghona village, Moheshkhali upazila, Cox’s Bazar",5km,landslide,unknown,medium,unknown,1.0,,,,,glc,4248.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,7.34628,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.9696,21.5202,Chittagong
www.thedailystar.net,http://www.thedailystar.net/beta2/news/child-killed-in-mudslide-in-coxs-bazar/,5001,2013-06-30 06:00:00,,"Saikatpara Hill Area, Cox'S Bazar Municipality","A four-year-old child was killed and his mother injured in a landslide resulting from heavy rain at Saikatpara, hill area under CoxÕs Bazar municipality, yesterday. A chunk of earth fell on the Saikatpara house of Rezaul Karim a dawn, leaving his son Sakib and wife Taiyaba Begum seriously injured, police said.","Saikatpara Hill Area, Cox'S Bazar Municipality",1km,mudslide,downpour,medium,unknown,1.0,1.0,,,,glc,5001.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,36.36715,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.4951,21.9907,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1976,2010-06-15 04:00:00,,South Rahmater Bill village ,"Four members of a family died around 4:00am at South Rahmater Bill village while at the same time another person, son of Zafar Alam, died at the Dhamankhali village in Ukhia upazila in the landslides.",South Rahmater Bill village ,25km,landslide,downpour,medium,unknown,4.0,,,,,glc,1976.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,34.1929,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19905362,21.23291114,Chittagong
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/apr/19/mud-slide-kills-2-chapainawabganj,7134,2015-04-19 09:00:00,,Ujirpur barrage 3 under Shibchar upazila in Chapainawabganj,"At a stage, the mud from nearby dam slided on them. Later, the locals recovered their bodies from under the mud",Ujirpur barrage 3 under Shibchar upazila in Chapainawabganj,25km,mudslide,dam_embankment_collapse,small,above_river,2.0,0.0,,,,glc,7134.0,Bangladesh,BD,Rājshāhi,142361.0,Nawābganj,9.97116,07/10/2015 03:16:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.1825,24.5582,Rājshāhi
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1977,2010-06-15 04:00:00,,Dhamankhali village in Ukhia upazila,"Four members of a family died around 4:00am at South Rahmater Bill village while at the same time another person, son of Zafar Alam, died at the Dhamankhali village in Ukhia upazila in the landslides.",Dhamankhali village in Ukhia upazila,5km,landslide,downpour,medium,unknown,1.0,,,,,glc,1977.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,32.54732,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19314477,21.23967983,Chittagong
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3898,2011-08-08 00:00:00,,"Bandarban, Bangladesh","Almost incessant rainfall since Monday wreaked havoc all over the country.  Till yesterday, nearly four lakh people in Bandarban remained disconnected from the rest of the country after the torrential rain caused landslides and floods in the hill district.  Many roads went under water and a worrisome number of families lost their homes to landslides after water in the Matamuhuri and Sangu rivers rose significantly above the danger level.  Our Chittagong correspondent reports: although road communication resumed in several parts of Bandarban yesterday, Bandarban Sadar remained totally detached.  The locals of Bandarban termed the downpour the ""all time heaviest"" and the aftermath ""unbelievable"".  The Met office recorded around 750mm of rain across the country yesterday with Bogra having the highest amount of rain, which was 216mm.  While the weather is expected to improve from today, reports of travel disruptions and floods poured in yesterday from all regions of the country.  Half ","Bandarban, Bangladesh",10km,landslide,rain,medium,unknown,2.0,,,,,glc,3898.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,0.67378,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.2168,22.2009,Chittagong
