event_folder,shapefile_name,event_year,region_hint,label_type,path,training_readiness
unosat_multi_year,ST1_20200719_WaterExtent_Bangladesh.shp,2020,bangladesh,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200719_WaterExtent_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200720_FloodExtent_NE_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200720_FloodExtent_NE_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200720_WaterExtent_NE_Bangladesh.shp,2020,bangladesh,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200720_WaterExtent_NE_Bangladesh.shp,label_only
unosat_multi_year,ST1_20200721_FloodExtent_CentralRegion.shp,2020,central,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200721_FloodExtent_CentralRegion.shp,label_only
unosat_multi_year,ST1_20200721_FloodExtent_Northwestern.shp,2020,northwestern,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200721_FloodExtent_Northwestern.shp,label_only
unosat_multi_year,ST1_20200721_WaterExtent_CentralRegion.shp,2020,central,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200721_WaterExtent_CentralRegion.shp,label_only
unosat_multi_year,ST1_20200721_WaterExtent_Northwestern.shp,2020,northwestern,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200721_WaterExtent_Northwestern.shp,label_only
unosat_multi_year,ST1_20200808_FloodExtent_Central_Northern.shp,2020,central,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200808_FloodExtent_Central_Northern.shp,label_only
unosat_multi_year,ST1_20200808_WaterExtent_Central_Northern.shp,2020,central,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\ST1_20200808_WaterExtent_Central_Northern.shp,label_only
unosat_multi_year,TDX_20200719_FloodExtent_NE_Bangladesh.shp,2020,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TDX_20200719_FloodExtent_NE_Bangladesh.shp,label_only
unosat_multi_year,TDX_20200719_WaterExtent_NE_Bangladesh.shp,2020,bangladesh,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TDX_20200719_WaterExtent_NE_Bangladesh.shp,label_only
unosat_multi_year,TSX_20200718_FloodExtent_E_Sylhet.shp,2020,sylhet,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TSX_20200718_FloodExtent_E_Sylhet.shp,label_only
unosat_multi_year,TSX_20200718_FloodExtent_Mymensingh_Rajshahi_Rangpur.shp,2020,rangpur,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TSX_20200718_FloodExtent_Mymensingh_Rajshahi_Rangpur.shp,label_only
unosat_multi_year,TSX_20200718_WaterExtent_E_Sylhet.shp,2020,sylhet,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TSX_20200718_WaterExtent_E_Sylhet.shp,label_only
unosat_multi_year,TSX_20200718_WaterExtent_Mymensingh_Rajshahi_Rangpur.shp,2020,rangpur,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\ne_bangladesh_2020\TSX_20200718_WaterExtent_Mymensingh_Rajshahi_Rangpur.shp,label_only
chittagong_2021_08_08,S1_20210727_FloodExtent_Chittagong.shp,2021,chittagong,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210727_FloodExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210727_WaterExtent_Chittagong.shp,2021,chittagong,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210727_WaterExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210729_FloodExtent_Chittagong.shp,2021,chittagong,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210729_FloodExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210729_WaterExtent_Chittagong.shp,2021,chittagong,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210729_WaterExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210808_FloodExtent_Chittagong.shp,2021,chittagong,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210808_FloodExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210808_WaterExtent_Chittagong.shp,2021,chittagong,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210808_WaterExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210810_FloodExtent_Chittagong.shp,2021,chittagong,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210810_FloodExtent_Chittagong.shp,label_only
chittagong_2021_08_08,S1_20210810_WaterExtent_Chittagong.shp,2021,chittagong,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\chittagong_2021_08_08\FL20210729BGD_shp\S1_20210810_WaterExtent_Chittagong.shp,label_only
rangpur_2022_06_21,Chaohu1_20220525_FloodExtent_Sylhet.shp,2022,sylhet,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\Chaohu1_20220525_FloodExtent_Sylhet.shp,label_only
rangpur_2022_06_21,Chaohu1_20220525_WaterExtent_Sylhet.shp,2022,sylhet,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\Chaohu1_20220525_WaterExtent_Sylhet.shp,label_only
rangpur_2022_06_21,RCM1_20220618_FloodExtent_Sylhet.shp,2022,sylhet,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\RCM1_20220618_FloodExtent_Sylhet.shp,label_only
rangpur_2022_06_21,RCM1_20220618_WaterExtent_Sylhet.shp,2022,sylhet,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\RCM1_20220618_WaterExtent_Sylhet.shp,label_only
rangpur_2022_06_21,RCM1_20220619_FloodExtent_NE.shp,2022,ne,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\RCM1_20220619_FloodExtent_NE.shp,label_only
rangpur_2022_06_21,RCM1_20220619_WaterExtent_NE.shp,2022,ne,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\RCM1_20220619_WaterExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220525_20220528_FloodExtent_NE.shp,2022,ne,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220525_20220528_FloodExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220525_20220528_WaterExtent_NE.shp,2022,ne,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220525_20220528_WaterExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220525_FloodExtent_NE.shp,2022,ne,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220525_FloodExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220525_WaterExtent_NE.shp,2022,ne,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220525_WaterExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220528_FloodExtent_NE.shp,2022,ne,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220528_FloodExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220528_WaterExtent_NE.shp,2022,ne,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220528_WaterExtent_NE.shp,label_only
rangpur_2022_06_21,S1_20220609_FloodExtent_Rajshahi_Rangpur.shp,2022,rangpur,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220609_FloodExtent_Rajshahi_Rangpur.shp,label_only
rangpur_2022_06_21,S1_20220609_WaterExtent_Rajshahi_Rangpur.shp,2022,rangpur,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220609_WaterExtent_Rajshahi_Rangpur.shp,label_only
rangpur_2022_06_21,S1_20220621_FloodExtent_Rajshahi_Rangpur.shp,2022,rangpur,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220621_FloodExtent_Rajshahi_Rangpur.shp,label_only
rangpur_2022_06_21,S1_20220621_FloodExtent_Rangpur.shp,2022,rangpur,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220621_FloodExtent_Rangpur.shp,label_only
rangpur_2022_06_21,S1_20220621_WaterExtent_Rajshahi_Rangpur.shp,2022,rangpur,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220621_WaterExtent_Rajshahi_Rangpur.shp,label_only
rangpur_2022_06_21,S1_20220621_WaterExtent_Rangpur.shp,2022,rangpur,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\rangpur_2022_06_21\FL20220525BGD_SHP\S1_20220621_WaterExtent_Rangpur.shp,label_only
bangladesh_2024_07_16_23,GLOBAL_20240626_FloodExtent_Sunamganj.shp,2024,sunamganj,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\GLOBAL_20240626_FloodExtent_Sunamganj.shp,label_only
bangladesh_2024_07_16_23,PHR_20240626_FloodExtent_SunamganjSadar.shp,2024,sunamganj,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\PHR_20240626_FloodExtent_SunamganjSadar.shp,label_only
bangladesh_2024_07_16_23,S1_20240619_20240622_FloodExtent_Sylhet.shp,2024,sylhet,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\S1_20240619_20240622_FloodExtent_Sylhet.shp,label_plus_prepared_sar
bangladesh_2024_07_16_23,S1_20240619_20240622_WaterExtent_Sylhet.shp,2024,sylhet,water,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\S1_20240619_20240622_WaterExtent_Sylhet.shp,label_only
bangladesh_2024_07_16_23,SAOCOM_20240626_FloodExtent_Sylhet.shp,2024,sylhet,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\SAOCOM_20240626_FloodExtent_Sylhet.shp,label_only
bangladesh_2024_07_16_23,ST1_20240622_20240629_FloodExtent_Bangladesh.shp,2024,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\ST1_20240622_20240629_FloodExtent_Bangladesh.shp,label_only
bangladesh_2024_07_16_23,ST1_20240704_20240711_FloodExtent_Bangladesh.shp,2024,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\ST1_20240704_20240711_FloodExtent_Bangladesh.shp,label_only
bangladesh_2024_07_16_23,ST1_20240716_20240723_FloodExtent_Bangladesh.shp,2024,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_07_16_23\TC20240502BGD_SHP\ST1_20240716_20240723_FloodExtent_Bangladesh.shp,label_only
bangladesh_2024_08_28_09_04,S1_20240818_20240826_FloodExtent_Bangladesh.shp,2024,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_08_28_09_04\FL20240825BGD_SHP\S1_20240818_20240826_FloodExtent_Bangladesh.shp,label_only
bangladesh_2024_08_28_09_04,S1_20240828_20240904_FloodExtent_Bangladesh.shp,2024,bangladesh,flood,f:\MAPATHON\sylhet_flood_2024\data\raw\unosat_multi_year\bangladesh_2024_08_28_09_04\FL20240825BGD_SHP\S1_20240828_20240904_FloodExtent_Bangladesh.shp,label_only
