path,row,col,flood_pct,bin
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0025.npz,0,3200,0.15447998046875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0026.npz,0,3328,0.0510101318359375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0027.npz,0,3456,0.0183868408203125,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0028.npz,0,3584,0.0037384033203125,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0029.npz,0,3712,0.0001068115234375,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0030.npz,0,3840,0.0045318603515625,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0031.npz,0,3968,0.041534423828125,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0032.npz,0,4096,0.051788330078125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0033.npz,0,4224,0.0147857666015625,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0034.npz,0,4352,0.086883544921875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0035.npz,0,4480,0.1641845703125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0036.npz,0,4608,0.0833282470703125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0037.npz,0,4736,0.0178985595703125,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0038.npz,0,4864,0.02069091796875,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0039.npz,0,4992,0.008819580078125,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0040.npz,0,5120,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0041.npz,0,5248,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0042.npz,0,5376,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0043.npz,0,5504,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0044.npz,0,5632,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0045.npz,0,5760,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0046.npz,0,5888,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0047.npz,0,6016,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0048.npz,0,6144,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0049.npz,0,6272,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0050.npz,0,6400,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0051.npz,0,6528,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0052.npz,0,6656,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0053.npz,0,6784,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0054.npz,0,6912,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0055.npz,0,7040,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0056.npz,0,7168,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0057.npz,0,7296,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0058.npz,0,7424,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0059.npz,0,7552,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0060.npz,0,7680,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0061.npz,0,7808,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0062.npz,0,7936,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0063.npz,0,8064,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0064.npz,0,8192,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0065.npz,0,8320,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0066.npz,0,8448,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0067.npz,0,8576,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0068.npz,0,8704,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0069.npz,0,8832,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0070.npz,0,8892,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0071.npz,128,0,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0072.npz,128,128,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0073.npz,128,256,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0074.npz,128,384,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0075.npz,128,512,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0076.npz,128,640,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0077.npz,128,768,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0078.npz,128,896,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0079.npz,128,1024,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0080.npz,128,1152,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0081.npz,128,1280,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0082.npz,128,1408,0.036956787109375,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0083.npz,128,1536,0.0533599853515625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0084.npz,128,1664,0.058258056640625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0085.npz,128,1792,0.1114501953125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0086.npz,128,1920,0.1524200439453125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0087.npz,128,2048,0.1496124267578125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0088.npz,128,2176,0.154205322265625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0089.npz,128,2304,0.2517852783203125,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0090.npz,128,2432,0.227630615234375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0091.npz,128,2560,0.1523590087890625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0092.npz,128,2688,0.142547607421875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0093.npz,128,2816,0.137115478515625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0094.npz,128,2944,0.3343658447265625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0095.npz,128,3072,0.4939117431640625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0096.npz,128,3200,0.3921661376953125,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0097.npz,128,3328,0.2391357421875,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0098.npz,128,3456,0.110107421875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0099.npz,128,3584,0.0419769287109375,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0100.npz,128,3712,0.0634307861328125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0101.npz,128,3840,0.0543212890625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0102.npz,128,3968,0.075897216796875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0103.npz,128,4096,0.080047607421875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0104.npz,128,4224,0.1037750244140625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0105.npz,128,4352,0.1861419677734375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0106.npz,128,4480,0.222442626953125,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0107.npz,128,4608,0.166046142578125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0108.npz,128,4736,0.091644287109375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0109.npz,128,4864,0.0920257568359375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0110.npz,128,4992,0.1066131591796875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0111.npz,128,5120,0.0876617431640625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0112.npz,128,5248,0.0244903564453125,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0113.npz,128,5376,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0114.npz,128,5504,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0115.npz,128,5632,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0116.npz,128,5760,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0117.npz,128,5888,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0118.npz,128,6016,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0119.npz,128,6144,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0120.npz,128,6272,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0121.npz,128,6400,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0122.npz,128,6528,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0123.npz,128,6656,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0124.npz,128,6784,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0125.npz,128,6912,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0126.npz,128,7040,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0127.npz,128,7168,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0128.npz,128,7296,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0129.npz,128,7424,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0130.npz,128,7552,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0131.npz,128,7680,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0132.npz,128,7808,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0133.npz,128,7936,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0134.npz,128,8064,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0135.npz,128,8192,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0136.npz,128,8320,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0137.npz,128,8448,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0138.npz,128,8576,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0139.npz,128,8704,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0140.npz,128,8832,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0141.npz,128,8892,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0142.npz,256,0,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0143.npz,256,128,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0144.npz,256,256,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0145.npz,256,384,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0146.npz,256,512,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0147.npz,256,640,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0148.npz,256,768,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0149.npz,256,896,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0150.npz,256,1024,0.004669189453125,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0151.npz,256,1152,0.0122222900390625,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0152.npz,256,1280,0.0075531005859375,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0153.npz,256,1408,0.0419921875,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0154.npz,256,1536,0.08502197265625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0155.npz,256,1664,0.13787841796875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0156.npz,256,1792,0.3268890380859375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0157.npz,256,1920,0.43255615234375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0158.npz,256,2048,0.3638458251953125,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0159.npz,256,2176,0.344696044921875,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0160.npz,256,2304,0.373870849609375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0161.npz,256,2432,0.2960357666015625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0162.npz,256,2560,0.17852783203125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0163.npz,256,2688,0.1935577392578125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0164.npz,256,2816,0.3201141357421875,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0165.npz,256,2944,0.48785400390625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0166.npz,256,3072,0.51922607421875,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0167.npz,256,3200,0.4825439453125,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0168.npz,256,3328,0.391571044921875,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0169.npz,256,3456,0.16278076171875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0170.npz,256,3584,0.0697479248046875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0171.npz,256,3712,0.1193084716796875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0172.npz,256,3840,0.095550537109375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0173.npz,256,3968,0.0642242431640625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0174.npz,256,4096,0.049957275390625,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0175.npz,256,4224,0.1751251220703125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0176.npz,256,4352,0.1822052001953125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0177.npz,256,4480,0.064361572265625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0178.npz,256,4608,0.0862884521484375,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0179.npz,256,4736,0.1562652587890625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0180.npz,256,4864,0.2748870849609375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0181.npz,256,4992,0.341461181640625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0182.npz,256,5120,0.36419677734375,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0183.npz,256,5248,0.226959228515625,high
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0184.npz,256,5376,0.0457000732421875,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0185.npz,256,5504,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0186.npz,256,5632,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0187.npz,256,5760,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0188.npz,256,5888,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0189.npz,256,6016,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0190.npz,256,6144,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0191.npz,256,6272,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0192.npz,256,6400,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0193.npz,256,6528,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0194.npz,256,6656,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0195.npz,256,6784,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0196.npz,256,6912,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0197.npz,256,7040,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0198.npz,256,7168,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0199.npz,256,7296,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0200.npz,256,7424,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0201.npz,256,7552,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0202.npz,256,7680,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0203.npz,256,7808,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0204.npz,256,7936,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0205.npz,256,8064,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0206.npz,256,8192,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0207.npz,256,8320,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0208.npz,256,8448,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0209.npz,256,8576,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0210.npz,256,8704,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0211.npz,256,8832,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0212.npz,256,8892,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0213.npz,384,0,0.058807373046875,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0214.npz,384,128,0.0030364990234375,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0215.npz,384,256,0.0030364990234375,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0216.npz,384,384,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0217.npz,384,512,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0218.npz,384,640,0.0,dry
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0219.npz,384,768,0.008697509765625,very_low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0220.npz,384,896,0.1071319580078125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0221.npz,384,1024,0.1792755126953125,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0222.npz,384,1152,0.1137847900390625,medium
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0223.npz,384,1280,0.0429840087890625,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0224.npz,384,1408,0.0360107421875,low
f:\MAPATHON\sylhet_flood_2024\data\processed\patches_overlap128_optimistic\patch_0225.npz,384,1536,0.0841522216796875,medium
